data_copa,time_a,time_b,placar,gols_do_time_da_casa,gols_do_time_da_fora,saldo_gols_do_time_da_casa,saldo_gols_do_time_da_fora,teve_prorrogacao,foi_para_penaltis,placar_penaltis,gols_do_time_da_casa_penaltis,gols_do_time_da_fora_penaltis,time_da_casa_vencedor,time_da_fora_vencedor,empatou,sede,vencedor_copa,sede_vencedor,qtd_times_parcticipantes
1962,Czechoslovakia,Spain,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Hungary,England,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Yugoslavia,Uruguay,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Chile,Italy,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Brazil,Czechoslovakia,0Ð0,0,0,0,0,0,0,0-0,0,0,0,0,1,Chile,Brazil,0,16
1962,England,Argentina,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Soviet Union,Colombia,4Ð4,4,4,0,0,0,0,0-0,0,0,0,0,1,Chile,Brazil,0,16
1962,West Germany,Switzerland,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Spain,Mexico,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Hungary,Bulgaria,6Ð1,6,1,5,-5,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Soviet Union,Uruguay,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,West Germany,Chile,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Brazil,Spain,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Hungary,Argentina,0Ð0,0,0,0,0,0,0,0-0,0,0,0,0,1,Chile,Brazil,0,16
